2013-03-08 17:06:08,717 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [binarystore] Reseting cache
2013-03-08 17:06:08,720 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [repostore] Reseting cache
2013-03-08 17:06:08,722 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [store] Reseting cache
2013-03-08 17:14:38,144 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [store] Disk cache not shutdown properly, shutting down now.
2013-03-08 17:14:38,145 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [repostore] Disk cache not shutdown properly, shutting down now.
2013-03-08 17:14:38,145 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [binarystore] Disk cache not shutdown properly, shutting down now.
2013-03-08 17:14:38,168 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [binarystore] Reseting cache
2013-03-08 17:14:38,272 ERROR .auxiliary.disk.indexed.IndexedDiskCache Region [binarystore] Not alive and dispose was called, filename: binarystore
2013-03-08 17:14:38,274 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [repostore] Reseting cache
2013-03-08 17:14:38,275 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [store] Reseting cache
2013-03-08 17:14:48,741 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [binarystore] Reseting cache
2013-03-08 17:14:48,747 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [repostore] Reseting cache
2013-03-08 17:14:48,749 WARN  .auxiliary.disk.indexed.IndexedDiskCache Region [store] Reseting cache
