2013/03/08 17:06:03 | STATUS | wrapper  | TERM trapped.  Shutting down.
2013/03/08 17:06:04 | INFO   | jvm 1    | Shutdown hook executing
2013/03/08 17:06:05 | STATUS | wrapper  | <-- Wrapper Stopped
2013/03/08 17:06:06 | STATUS | wrapper  | --> Wrapper Started as Daemon
2013/03/08 17:06:06 | STATUS | wrapper  | Launching a JVM...
2013/03/08 17:06:07 | INFO   | jvm 1    | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
2013/03/08 17:06:07 | INFO   | jvm 1    | 
2013/03/08 17:06:07 | INFO   | jvm 1    | Starting Fortress
2013/03/08 17:06:08 | INFO   | jvm 1    | Fortress started
2013/03/08 17:14:37 | STATUS | wrapper  | TERM trapped.  Shutting down.
2013/03/08 17:14:38 | INFO   | jvm 1    | Shutdown hook executing
2013/03/08 17:14:39 | STATUS | wrapper  | <-- Wrapper Stopped
2013/03/08 17:14:46 | STATUS | wrapper  | --> Wrapper Started as Daemon
2013/03/08 17:14:46 | STATUS | wrapper  | Launching a JVM...
2013/03/08 17:14:47 | INFO   | jvm 1    | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
2013/03/08 17:14:47 | INFO   | jvm 1    | 
2013/03/08 17:14:47 | INFO   | jvm 1    | Starting Fortress
2013/03/08 17:14:48 | INFO   | jvm 1    | Fortress started
2013/03/09 17:15:57 | STATUS | wrapper  | TERM trapped.  Shutting down.
2013/03/11 10:18:43 | STATUS | wrapper  | --> Wrapper Started as Daemon
2013/03/11 10:18:44 | STATUS | wrapper  | Launching a JVM...
2013/03/11 10:18:45 | INFO   | jvm 1    | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
2013/03/11 10:18:45 | INFO   | jvm 1    | 
2013/03/11 10:18:45 | INFO   | jvm 1    | Starting Fortress
2013/03/11 10:18:48 | INFO   | jvm 1    | Fortress started
2013/03/26 09:32:26 | INFO   | wrapper  | Wrapper Process has not received any CPU time for 23 seconds.  Extending timeouts.
2013/03/26 09:32:33 | INFO   | wrapper  | Wrapper Process has not received any CPU time for 15 seconds.  Extending timeouts.
2013/03/26 09:32:43 | INFO   | jvm 1    | JVM Process has not received any CPU time for 19 seconds.  Extending timeouts.
2013/03/26 09:32:44 | INFO   | jvm 1    | JVM Process has not received any CPU time for 29 seconds.  Extending timeouts.
2013/05/14 02:57:35 | INFO   | wrapper  | Wrapper Process has not received any CPU time for 231 seconds.  Extending timeouts.
2013/05/14 02:57:36 | INFO   | jvm 1    | JVM Process has not received any CPU time for 231 seconds.  Extending timeouts.
2013/05/20 20:15:39 | INFO   | wrapper  | Wrapper Process has not received any CPU time for 336 seconds.  Extending timeouts.
2013/05/20 20:15:39 | INFO   | jvm 1    | JVM Process has not received any CPU time for 336 seconds.  Extending timeouts.
2013/06/26 18:50:25 | INFO   | wrapper  | Wrapper Process has not received any CPU time for 178 seconds.  Extending timeouts.
2013/06/26 18:50:25 | INFO   | jvm 1    | JVM Process has not received any CPU time for 178 seconds.  Extending timeouts.
2013/07/03 18:22:42 | STATUS | wrapper  | TERM trapped.  Shutting down.
2013/07/03 18:22:43 | INFO   | jvm 1    | Shutdown hook executing
2013/07/05 03:16:16 | STATUS | wrapper  | --> Wrapper Started as Daemon
2013/07/05 03:16:16 | STATUS | wrapper  | Launching a JVM...
